Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Boston,Weekly,10/01/2021 00:00,Conventional,1.300577011,680682.33,16845.69,371302.52,103.66,170571.56,147862.36,21679.93,0,121858.91
Buffalo/Rochester,Weekly,10/01/2021 00:00,Conventional,1.020786727,220455.13,22688.46,63209.55,2591.89,127677.98,122794.87,3820.95,989.1,4287.25
Charlotte,Weekly,10/01/2021 00:00,Conventional,0.948615016,386885.5,151053.95,47099.97,3711.58,152450.25,115974.49,14927.06,0,32569.75
Chicago,Weekly,10/01/2021 00:00,Conventional,1.205289075,891300.39,134157.02,127857.38,44325.49,267653.14,256075.46,1492.71,9283.05,317307.35
Cincinnati/Dayton,Weekly,10/01/2021 00:00,Conventional,0.912506911,331280.49,59355.77,54227.92,3503.96,38841.32,32318.14,291.9,4253.65,175351.52
Columbus,Weekly,10/01/2021 00:00,Conventional,0.89768437,259333.98,52517.59,38836.6,406.35,51343.63,44748.84,3.15,5272.87,116229.82
Dallas/Ft. Worth,Weekly,10/01/2021 00:00,Conventional,0.600230002,1936486.22,589484.81,197950.35,11337.27,723046.67,669282.61,638.4,50954.85,414667.13
Denver,Weekly,10/01/2021 00:00,Conventional,0.957319607,1148436.73,173734.3,129158.38,2814.86,295163.07,232965.84,24825.61,14690.03,547566.11
Detroit,Weekly,10/01/2021 00:00,Conventional,0.969230556,478801.18,83385.89,61857.28,51341.4,119387.27,111095.31,10.5,6320.29,162829.34
Grand Rapids,Weekly,10/01/2021 00:00,Conventional,1.329319354,192930.91,16295.98,48421.12,59197.8,51822.7,48960.36,0,2784.6,17193.3
Harrisburg/Scranton,Weekly,10/01/2021 00:00,Conventional,1.03912345,377406.14,141133.48,106078.08,67.59,119594.76,109637.09,5484.15,3666.6,10532.23
Hartford/Springfield,Weekly,10/01/2021 00:00,Conventional,1.263777344,377565.46,10684.05,268300.59,242.39,91772.24,86023.65,5172.3,0,6566.19
Houston,Weekly,10/01/2021 00:00,Conventional,0.660376098,1335840.56,501337.19,275945.51,3296.64,277476.88,252988.74,88.2,22818.96,277784.35
Indianapolis,Weekly,10/01/2021 00:00,Conventional,0.854016864,273738.26,54739.52,63830.26,2261.92,66336.45,56626.46,3778.03,4736.64,86570.12
Jacksonville,Weekly,10/01/2021 00:00,Conventional,0.82824727,242656.58,108111.72,8599.67,90.54,72074.71,64570.15,7324.54,0,53779.95
Las Vegas,Weekly,10/01/2021 00:00,Conventional,0.861553396,427598.29,65727.18,34371.66,60.08,143705.19,122437.04,39.24,8431.94,183734.18
Los Angeles,Weekly,10/01/2021 00:00,Conventional,1.165011258,3215531.96,828119.18,63402.95,160634.21,743219.32,631377.01,30158.1,48904.48,1420156.3
Louisville,Weekly,10/01/2021 00:00,Conventional,0.930041325,139853.83,26544.2,16282.03,43.7,39416.5,32691.02,4680.11,1160.09,57567.4
